FileName, NoSelected, TxSize
5ad448a959678302d59e6f75,84,12500
5ad44bfdce94cf05c955f862,2,364
5ad44e0ece94cf05c955f864,2,398
5ad44e1bce94cf05c955f865,2,364
5ad4503ece94cf05c955f868,3,512
5ad4517cce94cf05c955f86a,4,660
5ad4519cce94cf05c955f86b,2,364
5ad45307ce94cf05c955f86c,2,364
5ad45353ce94cf05c955f86d,3,546
5ad4537ece94cf05c955f86e,2,398
5ad45aac4c372215dd13d61c,2,330
5ad45bc64c372215dd13d61d,3,546
5ad45f554c372215dd13d620,4,660
5ad460064c372215dd13d621,2,364
5ad4601c4c372215dd13d622,2,364
5ad460274c372215dd13d623,6,956
5ad462d64c372215dd13d625,2,398
5ad464274c372215dd13d626,4,694
5ad466074c372215dd13d627,5,842
5ad466964c372215dd13d628,2,398
5ad466b84c372215dd13d629,3,546
5ad467694c372215dd13d62a,4,660
5ad468234c372215dd13d62c,2,364
5ad469f14c372215dd13d62e,9,1434
5ad46c154c372215dd13d630,2,398
5ad46c3a4c372215dd13d631,2,398
5ad46ca84c372215dd13d632,3,512
5ad46ec14c372215dd13d633,7,1104
5ad46ef24c372215dd13d634,2,364
5ad471284c372215dd13d638,2,364
5ad472484c372215dd13d63a,2,364
5ad472ba4c372215dd13d63b,2,364
5ad472c54c372215dd13d63c,2,398
5ad473814c372215dd13d63d,1,352
5ad4739d4c372215dd13d63e,3,546
5ad4742c4c372215dd13d63f,2,364
5ad474d64c372215dd13d640,4,694
5ad475124c372215dd13d641,78,11612
5ad476594c372215dd13d643,2,398
5ad476844c372215dd13d644,4,660
5ad476fb4c372215dd13d645,23,3472
5ad477294c372215dd13d646,4,694
5ad47be34c372215dd13d64a,2,364
5ad47d664c372215dd13d64c,7,1104
5ad47dc44c372215dd13d64d,5,842
5ad47eb64c372215dd13d64e,6,990
5ad47f9d4c372215dd13d64f,2,364
5ad484584c372215dd13d651,6,990
5ad484ba4c372215dd13d652,3,546
5ad486864c372215dd13d654,5,808
5ad486964c372215dd13d655,6,956
5ad4874d4c372215dd13d656,2,398
5ad487e34c372215dd13d657,3,546
5ad4884f4c372215dd13d658,2,398
5ad489674c372215dd13d659,7,1138
5ad489ba4c372215dd13d65b,6,956
5ad48ad14c372215dd13d65c,3,546
5ad48afa4c372215dd13d65d,2,398
5ad48b864c372215dd13d65e,2,500
5ad48dac4c372215dd13d65f,1,284
5ad48de24c372215dd13d660,2,398
5ad48e444c372215dd13d661,2,534
5ad48f254c372215dd13d663,3,546
